Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,9,B11,M,00:10:16.23,258646
1,10,B11,M,00:11:29.39,258441
1,1,B12,M,00:00:31.44,261617
1,2,B12,M,00:01:44.60,260474
1,3,B12,M,00:02:57.76,259911
1,4,B12,M,00:04:10.92,259640
1,5,B12,M,00:05:24.08,259138
1,6,B12,M,00:06:37.24,259358
1,7,B12,M,00:07:50.40,259590
1,8,B12,M,00:09:03.59,259200
1,9,B12,M,00:10:16.75,258422
1,10,B12,M,00:11:29.90,258673
1,1,C01,M,00:00:34.39,263878
1,2,C01,M,00:01:47.55,262386
1,3,C01,M,00:03:00.71,262429
1,4,C01,M,00:04:13.87,263017
1,5,C01,M,00:05:27.03,262071
1,6,C01,M,00:06:40.19,262151
1,7,C01,M,00:07:53.35,261841
1,8,C01,M,00:09:06.55,262476
1,9,C01,M,00:10:19.70,261554
1,10,C01,M,00:11:32.86,261949
1,1,C02,M,00:00:34.91,258706
1,2,C02,M,00:01:48.07,256850
1,3,C02,M,00:03:01.23,256117
1,4,C02,M,00:04:14.39,256141
1,5,C02,M,00:05:27.55,257046
1,6,C02,M,00:06:40.71,257255
1,7,C02,M,00:07:53.87,256245
1,8,C02,M,00:09:07.06,255179
1,9,C02,M,00:10:20.22,255862
1,10,C02,M,00:11:33.37,255927
1,1,C03,M,00:00:35.42,259461
1,2,C03,M,00:01:48.58,258617
1,3,C03,M,00:03:01.74,259040
1,4,C03,M,00:04:14.91,257517
1,5,C03,M,00:05:28.06,258596
1,6,C03,M,00:06:41.22,256833
1,7,C03,M,00:07:54.39,258500
1,8,C03,M,00:09:07.58,258155
1,9,C03,M,00:10:20.73,258945
1,10,C03,M,00:11:33.89,258458
1,1,C04,M,00:00:35.94,258284
1,2,C04,M,00:01:49.10,257756
1,3,C04,M,00:03:02.26,257471
1,4,C04,M,00:04:15.42,257490
1,5,C04,M,00:05:28.58,256476
1,6,C04,M,00:06:41.74,257390
1,7,C04,M,00:07:54.90,257758
1,8,C04,M,00:09:08.09,256708
1,9,C04,M,00:10:21.25,257183
1,10,C04,M,00:11:34.40,257741
1,1,C05,M,00:00:36.46,257277
1,2,C05,M,00:01:49.61,256537
1,3,C05,M,00:03:02.77,256630
1,4,C05,M,00:04:15.94,256685
1,5,C05,M,00:05:29.09,255712
1,6,C05,M,00:06:42.25,256739
1,7,C05,M,00:07:55.42,255665
1,8,C05,M,00:09:08.61,254877
1,9,C05,M,00:10:21.76,255909
1,10,C05,M,00:11:34.92,254708
1,1,C06,M,00:00:36.97,256883
1,2,C06,M,00:01:50.13,255338
1,3,C06,M,00:03:03.29,254677
1,4,C06,M,00:04:16.45,255969
1,5,C06,M,00:05:29.61,255729
1,6,C06,M,00:06:42.77,254649
1,7,C06,M,00:07:55.93,254215
1,8,C06,M,00:09:09.12,254185
1,9,C06,M,00:10:22.28,254189
1,10,C06,M,00:11:35.43,254379
1,1,C07,M,00:00:37.48,257498
1,2,C07,M,00:01:50.64,256203
1,3,C07,M,00:03:03.80,257346
1,4,C07,M,00:04:16.97,255161
1,5,C07,M,00:05:30.12,255690
1,6,C07,M,00:06:43.28,254745
1,7,C07,M,00:07:56.45,255827
1,8,C07,M,00:09:09.64,254337
1,9,C07,M,00:10:22.79,256193
1,10,C07,M,00:11:35.95,254189
1,1,C08,M,00:00:38.00,257724
1,2,C08,M,00:01:51.16,255731
1,3,C08,M,00:03:04.32,255443
1,4,C08,M,00:04:17.48,256255
1,5,C08,M,00:05:30.64,255932
1,6,C08,M,00:06:43.80,255309
1,7,C08,M,00:07:56.96,255925
1,8,C08,M,00:09:10.15,256295
1,9,C08,M,00:10:23.31,255813
1,10,C08,M,00:11:36.46,254530
1,1,C09,M,00:00:38.51,258494
1,2,C09,M,00:01:51.67,256573
1,3,C09,M,00:03:04.84,256792
1,4,C09,M,00:04:17.99,257066
1,5,C09,M,00:05:31.15,257161
1,6,C09,M,00:06:44.31,256809
1,7,C09,M,00:07:57.48,255953
1,8,C09,M,00:09:10.67,256297
1,9,C09,M,00:10:23.82,256596
1,10,C09,M,00:11:36.98,256357
1,1,C10,M,00:00:39.03,257902
1,2,C10,M,00:01:52.19,256392
1,3,C10,M,00:03:05.35,257341
1,4,C10,M,00:04:18.51,257172
1,5,C10,M,00:05:31.67,256561
1,6,C10,M,00:06:44.83,256772
1,7,C10,M,00:07:57.99,256807
1,8,C10,M,00:09:11.18,255903
1,9,C10,M,00:10:24.34,256618
1,10,C10,M,00:11:37.49,255842
1,1,C11,M,00:00:39.54,258826
1,2,C11,M,00:01:52.70,258623
1,3,C11,M,00:03:05.87,258647
1,4,C11,M,00:04:19.03,258377
1,5,C11,M,00:05:32.18,257920
1,6,C11,M,00:06:45.34,257590
1,7,C11,M,00:07:58.51,257644
1,8,C11,M,00:09:11.70,257327
1,9,C11,M,00:10:24.85,257639
1,10,C11,M,00:11:38.01,257295
1,1,C12,M,00:00:40.06,260154
1,2,C12,M,00:01:53.22,258523
1,3,C12,M,00:03:06.38,259651
1,4,C12,M,00:04:19.54,259709
1,5,C12,M,00:05:32.70,259640
1,6,C12,M,00:06:45.86,258596
1,7,C12,M,00:07:59.02,259249
1,8,C12,M,00:09:12.21,258544
1,9,C12,M,00:10:25.37,258719
1,10,C12,M,00:11:38.52,259335
1,1,D01,M,00:00:43.01,263164
1,2,D01,M,00:01:56.17,262641
1,3,D01,M,00:03:09.33,262290
1,4,D01,M,00:04:22.49,261869
1,5,D01,M,00:05:35.65,261840
1,6,D01,M,00:06:48.81,261458
1,7,D01,M,00:08:01.97,262305
1,8,D01,M,00:09:15.17,262329
1,9,D01,M,00:10:28.32,261127
1,10,D01,M,00:11:41.47,262011
1,1,D02,M,00:00:43.53,257266
1,2,D02,M,00:01:56.69,255289
1,3,D02,M,00:03:09.85,255690
1,4,D02,M,00:04:23.01,256010
1,5,D02,M,00:05:36.17,256705
1,6,D02,M,00:06:49.33,256452
1,7,D02,M,00:08:02.49,256754
1,8,D02,M,00:09:15.68,256647
1,9,D02,M,00:10:28.84,255751
1,10,D02,M,00:11:41.99,255438
1,1,D03,M,00:00:44.04,258742
1,2,D03,M,00:01:57.20,257837
1,3,D03,M,00:03:10.37,257663
1,4,D03,M,00:04:23.52,256390
1,5,D03,M,00:05:36.68,256412
1,6,D03,M,00:06:49.84,257099
1,7,D03,M,00:08:03.00,257371
1,8,D03,M,00:09:16.20,257584
1,9,D03,M,00:10:29.35,256056
1,10,D03,M,00:11:42.51,256672
1,1,D04,M,00:00:44.56,258412
1,2,D04,M,00:01:57.72,256477
1,3,D04,M,00:03:10.88,256694
1,4,D04,M,00:04:24.04,255677
1,5,D04,M,00:05:37.20,254835
1,6,D04,M,00:06:50.36,255974
1,7,D04,M,00:08:03.52,255360
1,8,D04,M,00:09:16.71,255422
1,9,D04,M,00:10:29.87,254988
1,10,D04,M,00:11:43.02,255813
1,1,D05,M,00:00:45.07,256809
1,2,D05,M,00:01:58.23,256425
1,3,D05,M,00:03:11.40,254896
1,4,D05,M,00:04:24.55,255145
1,5,D05,M,00:05:37.71,255410
1,6,D05,M,00:06:50.87,254754
1,7,D05,M,00:08:04.03,256869
1,8,D05,M,00:09:17.23,255356
1,9,D05,M,00:10:30.38,255591
1,10,D05,M,00:11:43.53,254434
1,1,D06,M,00:00:45.59,256282
1,2,D06,M,00:01:58.75,254704
1,3,D06,M,00:03:11.91,253945
1,4,D06,M,00:04:25.07,253823
1,5,D06,M,00:05:38.23,254051
1,6,D06,M,00:06:51.39,254429
1,7,D06,M,00:08:04.55,253733
1,8,D06,M,00:09:17.74,254348
1,9,D06,M,00:10:30.90,253495
1,10,D06,M,00:11:44.05,253992
1,1,D07,M,00:00:46.10,256004
1,2,D07,M,00:01:59.26,254907
1,3,D07,M,00:03:12.43,254819
1,4,D07,M,00:04:25.58,255122
1,5,D07,M,00:05:38.74,254932
1,6,D07,M,00:06:51.90,255209
1,7,D07,M,00:08:05.06,255123
1,8,D07,M,00:09:18.26,253589
1,9,D07,M,00:10:31.41,253966
1,10,D07,M,00:11:44.57,253640
1,1,D08,M,00:00:46.62,256067
1,2,D08,M,00:01:59.78,255116
1,3,D08,M,00:03:12.94,254700
1,4,D08,M,00:04:26.10,253784
1,5,D08,M,00:05:39.26,254095
1,6,D08,M,00:06:52.42,255135
1,7,D08,M,00:08:05.58,255389
1,8,D08,M,00:09:18.77,254099
1,9,D08,M,00:10:31.93,255057
1,10,D08,M,00:11:45.08,255164
1,1,D09,M,00:00:47.13,255890
1,2,D09,M,00:02:00.29,255270
1,3,D09,M,00:03:13.46,254539
1,4,D09,M,00:04:26.61,255268
1,5,D09,M,00:05:39.77,255318
1,6,D09,M,00:06:52.93,254224
1,7,D09,M,00:08:06.09,254828
1,8,D09,M,00:09:19.29,253775
1,9,D09,M,00:10:32.44,254384
1,10,D09,M,00:11:45.60,254747
1,1,D10,M,00:00:47.65,256125
1,2,D10,M,00:02:00.81,255035
1,3,D10,M,00:03:13.97,253932
1,4,D10,M,00:04:27.13,255277
1,5,D10,M,00:05:40.29,254472
1,6,D10,M,00:06:53.45,254956
1,7,D10,M,00:08:06.61,254378
1,8,D10,M,00:09:19.80,254187
1,9,D10,M,00:10:32.96,254791
1,10,D10,M,00:11:46.11,254076
1,1,D11,M,00:00:48.16,258194
1,2,D11,M,00:02:01.32,257261
1,3,D11,M,00:03:14.49,256665
1,4,D11,M,00:04:27.64,256494
1,5,D11,M,00:05:40.80,256162
1,6,D11,M,00:06:53.96,257464
1,7,D11,M,00:08:07.13,255414
1,8,D11,M,00:09:20.32,255896
