Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,9,D08,M,00:11:10.51,8302396
1,10,D08,M,00:12:29.00,8665419
1,1,D09,M,00:00:43.16,8615976
1,2,D09,M,00:02:01.65,8547037
1,3,D09,M,00:03:20.14,8576932
1,4,D09,M,00:04:38.62,8453389
1,5,D09,M,00:05:57.11,8354727
1,6,D09,M,00:07:15.59,8413149
1,7,D09,M,00:08:34.08,8648556
1,8,D09,M,00:09:52.57,8458516
1,9,D09,M,00:11:11.08,8466745
1,10,D09,M,00:12:29.57,8419831
1,1,D10,M,00:00:43.73,8667941
1,2,D10,M,00:02:02.22,8484973
1,3,D10,M,00:03:20.71,8632085
1,4,D10,M,00:04:39.19,8507528
1,5,D10,M,00:05:57.68,8665624
1,6,D10,M,00:07:16.16,8555058
1,7,D10,M,00:08:34.65,8576131
1,8,D10,M,00:09:53.14,8569775
1,9,D10,M,00:11:11.65,8525995
1,10,D10,M,00:12:30.14,8485399
1,1,D11,M,00:00:44.30,8530566
1,2,D11,M,00:02:02.79,8501576
1,3,D11,M,00:03:21.28,8496493
1,4,D11,M,00:04:39.76,8489829
1,5,D11,M,00:05:58.25,8361194
1,6,D11,M,00:07:16.73,8309555
1,7,D11,M,00:08:35.22,8461037
1,8,D11,M,00:09:53.71,8321066
1,9,D11,M,00:11:12.22,8435617
1,10,D11,M,00:12:30.71,8442217
1,1,D12,M,00:00:44.87,8451686
1,2,D12,M,00:02:03.36,8506967
1,3,D12,M,00:03:21.85,8405808
1,4,D12,M,00:04:40.33,8435923
1,5,D12,M,00:05:58.82,8362219
1,6,D12,M,00:07:17.30,8476480
1,7,D12,M,00:08:35.79,8419140
1,8,D12,M,00:09:54.28,8359220
1,9,D12,M,00:11:12.79,8441412
1,10,D12,M,00:12:31.28,8422998
1,1,E01,M,00:00:47.88,8582817
1,2,E01,M,00:02:06.37,8467057
1,3,E01,M,00:03:24.86,8172208
1,4,E01,M,00:04:43.34,8317482
1,5,E01,M,00:06:01.83,8323833
1,6,E01,M,00:07:20.31,8419831
1,7,E01,M,00:08:38.80,8531876
1,8,E01,M,00:09:57.29,8323571
1,9,E01,M,00:11:15.80,8342818
1,10,E01,M,00:12:34.29,8403375
1,1,E02,M,00:00:48.45,8384194
1,2,E02,M,00:02:06.94,8495098
1,3,E02,M,00:03:25.43,8393854
1,4,E02,M,00:04:43.91,8391809
1,5,E02,M,00:06:02.40,8232172
1,6,E02,M,00:07:20.88,8459780
1,7,E02,M,00:08:39.37,8373838
1,8,E02,M,00:09:57.86,8338450
1,9,E02,M,00:11:16.37,8324462
1,10,E02,M,00:12:34.86,8379138
1,1,E03,M,00:00:49.02,8463435
1,2,E03,M,00:02:07.51,8491924
1,3,E03,M,00:03:26.00,8516617
1,4,E03,M,00:04:44.48,8500886
1,5,E03,M,00:06:02.97,8668232
1,6,E03,M,00:07:21.45,8501800
1,7,E03,M,00:08:39.94,8444309
1,8,E03,M,00:09:58.43,8521529
1,9,E03,M,00:11:16.94,8445942
1,10,E03,M,00:12:35.43,8507665
1,1,E04,M,00:00:49.59,8460995
1,2,E04,M,00:02:08.08,8503518
1,3,E04,M,00:03:26.57,8524481
1,4,E04,M,00:04:45.05,8346357
1,5,E04,M,00:06:03.54,8422707
1,6,E04,M,00:07:22.02,8488173
1,7,E04,M,00:08:40.51,8535866
1,8,E04,M,00:09:59.00,8482616
1,9,E04,M,00:11:17.51,8454582
1,10,E04,M,00:12:36.00,8398703
1,1,E05,M,00:00:50.16,8557385
1,2,E05,M,00:02:08.65,8345864
1,3,E05,M,00:03:27.14,8527546
1,4,E05,M,00:04:45.62,8496954
1,5,E05,M,00:06:04.11,8482952
1,6,E05,M,00:07:22.59,8335064
1,7,E05,M,00:08:41.08,8498035
1,8,E05,M,00:09:59.57,8403393
1,9,E05,M,00:11:18.08,8511922
1,10,E05,M,00:12:36.57,8542222
1,1,E06,M,00:00:50.73,8397059
1,2,E06,M,00:02:09.22,8516960
1,3,E06,M,00:03:27.71,8481060
1,4,E06,M,00:04:46.19,8399894
1,5,E06,M,00:06:04.68,8382461
1,6,E06,M,00:07:23.16,8375075
1,7,E06,M,00:08:41.65,8518839
1,8,E06,M,00:10:00.16,8432825
1,9,E06,M,00:11:18.65,8467605
1,10,E06,M,00:12:37.14,8468517
1,1,E07,M,00:00:51.30,8656391
1,2,E07,M,00:02:09.79,8595513
1,3,E07,M,00:03:28.28,8567519
1,4,E07,M,00:04:46.76,8659110
1,5,E07,M,00:06:05.25,8697920
1,6,E07,M,00:07:23.73,8459643
1,7,E07,M,00:08:42.22,8512406
1,8,E07,M,00:10:00.73,8519476
1,9,E07,M,00:11:19.22,8631395
