Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,6,B10,M,00:06:32.25,256366
1,7,B10,M,00:07:45.43,255874
1,8,B10,M,00:08:58.59,255925
1,9,B10,M,00:10:11.75,257728
1,10,B10,M,00:11:24.93,256514
1,1,B11,M,00:00:26.96,255697
1,2,B11,M,00:01:40.12,254617
1,3,B11,M,00:02:53.28,254543
1,4,B11,M,00:04:06.43,255075
1,5,B11,M,00:05:19.61,254745
1,6,B11,M,00:06:32.77,255118
1,7,B11,M,00:07:45.94,255641
1,8,B11,M,00:08:59.10,255025
1,9,B11,M,00:10:12.27,254508
1,10,B11,M,00:11:25.45,254624
1,1,B12,M,00:00:27.48,259094
1,2,B12,M,00:01:40.64,259078
1,3,B12,M,00:02:53.79,258520
1,4,B12,M,00:04:06.95,258760
1,5,B12,M,00:05:20.13,259162
1,6,B12,M,00:06:33.28,258477
1,7,B12,M,00:07:46.46,259652
1,8,B12,M,00:08:59.62,257983
1,9,B12,M,00:10:12.78,256921
1,10,B12,M,00:11:25.96,259029
1,1,C01,M,00:00:30.43,260255
1,2,C01,M,00:01:43.59,259543
1,3,C01,M,00:02:56.74,258429
1,4,C01,M,00:04:09.90,259976
1,5,C01,M,00:05:23.08,259638
1,6,C01,M,00:06:36.24,259410
1,7,C01,M,00:07:49.41,259445
1,8,C01,M,00:09:02.57,259894
1,9,C01,M,00:10:15.73,259092
1,10,C01,M,00:11:28.92,259238
1,1,C02,M,00:00:30.95,256869
1,2,C02,M,00:01:44.11,256788
1,3,C02,M,00:02:57.26,256669
1,4,C02,M,00:04:10.42,256393
1,5,C02,M,00:05:23.60,256132
1,6,C02,M,00:06:36.77,256731
1,7,C02,M,00:07:49.93,256660
1,8,C02,M,00:09:03.09,256232
1,9,C02,M,00:10:16.25,256524
1,10,C02,M,00:11:29.43,256312
1,1,C03,M,00:00:31.46,244213
1,2,C03,M,00:01:44.62,242919
1,3,C03,M,00:02:57.77,242832
1,4,C03,M,00:04:10.93,242001
1,5,C03,M,00:05:24.11,242961
1,6,C03,M,00:06:37.29,243403
1,7,C03,M,00:07:50.44,243458
1,8,C03,M,00:09:03.60,243304
1,9,C03,M,00:10:16.76,244452
1,10,C03,M,00:11:29.95,243766
1,1,C04,M,00:00:31.98,255765
1,2,C04,M,00:01:45.13,255835
1,3,C04,M,00:02:58.29,255542
1,4,C04,M,00:04:11.45,255935
1,5,C04,M,00:05:24.63,254277
1,6,C04,M,00:06:37.80,255366
1,7,C04,M,00:07:50.96,255984
1,8,C04,M,00:09:04.12,255352
1,9,C04,M,00:10:17.28,254863
1,10,C04,M,00:11:30.46,256579
1,1,C05,M,00:00:32.49,252805
1,2,C05,M,00:01:45.65,251236
1,3,C05,M,00:02:58.80,252291
1,4,C05,M,00:04:11.96,251951
1,5,C05,M,00:05:25.14,252133
1,6,C05,M,00:06:38.32,251057
1,7,C05,M,00:07:51.47,251813
1,8,C05,M,00:09:04.63,251290
1,9,C05,M,00:10:17.79,251573
1,10,C05,M,00:11:30.98,252561
1,1,C06,M,00:00:33.01,253140
1,2,C06,M,00:01:46.17,252771
1,3,C06,M,00:02:59.32,252571
1,4,C06,M,00:04:12.48,253006
1,5,C06,M,00:05:25.66,252740
