Plate,Repeat,Well,Type,Time,Fluorescein High Count (0.1s) (RFU)
1,18,B11,M,00:08:15.81,5955
1,19,B11,M,00:08:43.59,5958
1,20,B11,M,00:09:11.38,5869
1,1,B12,M,00:00:23.83,4172
1,2,B12,M,00:00:51.62,4284
1,3,B12,M,00:01:19.40,3870
1,4,B12,M,00:01:47.19,4050
1,5,B12,M,00:02:14.97,4379
1,6,B12,M,00:02:42.76,3544
1,7,B12,M,00:03:10.57,3890
1,8,B12,M,00:03:38.36,3947
1,9,B12,M,00:04:06.14,4509
1,10,B12,M,00:04:33.93,3815
1,11,B12,M,00:05:01.73,4054
1,12,B12,M,00:05:29.51,3937
1,13,B12,M,00:05:57.29,4093
1,14,B12,M,00:06:25.10,3863
1,15,B12,M,00:06:52.89,3934
1,16,B12,M,00:07:20.67,3354
1,17,B12,M,00:07:48.49,4077
1,18,B12,M,00:08:16.27,3479
1,19,B12,M,00:08:44.06,3747
1,20,B12,M,00:09:11.84,3914
1,1,C01,M,00:00:26.73,14284662
1,2,C01,M,00:00:54.52,14205205
1,3,C01,M,00:01:22.31,13992143
1,4,C01,M,00:01:50.09,13876162
1,5,C01,M,00:02:17.88,13731913
1,6,C01,M,00:02:45.66,13687160
1,7,C01,M,00:03:13.48,13571749
1,8,C01,M,00:03:41.26,13546282
1,9,C01,M,00:04:09.05,13423085
1,10,C01,M,00:04:36.83,13435897
1,11,C01,M,00:05:04.63,13439058
1,12,C01,M,00:05:32.41,13404109
1,13,C01,M,00:06:00.20,13435781
1,14,C01,M,00:06:28.00,13421736
1,15,C01,M,00:06:55.79,13437813
1,16,C01,M,00:07:23.57,13430182
1,17,C01,M,00:07:51.39,13418494
1,18,C01,M,00:08:19.17,13402619
1,19,C01,M,00:08:46.96,13448994
1,20,C01,M,00:09:14.74,13404977
1,1,C02,M,00:00:27.20,5267575
1,2,C02,M,00:00:54.99,5214855
1,3,C02,M,00:01:22.77,5169532
1,4,C02,M,00:01:50.56,5131811
1,5,C02,M,00:02:18.34,5133716
1,6,C02,M,00:02:46.12,5107198
1,7,C02,M,00:03:13.94,5098149
1,8,C02,M,00:03:41.73,5060248
1,9,C02,M,00:04:09.51,5069983
1,10,C02,M,00:04:37.30,5078578
1,11,C02,M,00:05:05.10,5085103
1,12,C02,M,00:05:32.88,5111649
1,13,C02,M,00:06:00.66,5105019
1,14,C02,M,00:06:28.47,5126953
1,15,C02,M,00:06:56.26,5146636
1,16,C02,M,00:07:24.04,5172691
1,17,C02,M,00:07:51.86,5152843
1,18,C02,M,00:08:19.64,5177399
1,19,C02,M,00:08:47.43,5199166
1,20,C02,M,00:09:15.21,5181049
1,1,C03,M,00:00:27.66,1896033
1,2,C03,M,00:00:55.46,1878827
1,3,C03,M,00:01:23.24,1861623
1,4,C03,M,00:01:51.02,1864257
1,5,C03,M,00:02:18.81,1875994
1,6,C03,M,00:02:46.59,1869400
1,7,C03,M,00:03:14.41,1867108
1,8,C03,M,00:03:42.20,1868613
1,9,C03,M,00:04:09.98,1871781
1,10,C03,M,00:04:37.77,1872571
1,11,C03,M,00:05:05.56,1884216
1,12,C03,M,00:05:33.35,1889376
1,13,C03,M,00:06:01.13,1902365
