Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,11,B05,M,13:29.5,166279
1,12,B05,M,14:47.9,185678
1,13,B05,M,16:06.4,166854
1,14,B05,M,55:34.3,216563
1,15,B05,M,56:52.7,218106
1,16,B05,M,58:11.1,217390
1,17,B05,M,59:29.6,222815
1,18,B05,M,00:48.1,212103
1,19,B05,M,02:06.5,220150
1,20,B05,M,03:25.0,218947
1,21,B05,M,04:43.4,227759
1,1,B06,M,00:25.4,133142
1,2,B06,M,01:43.9,120018
1,3,B06,M,03:02.3,130136
1,4,B06,M,04:20.8,127512
1,5,B06,M,05:39.3,122617
1,6,B06,M,06:57.7,135198
1,7,B06,M,08:16.1,132203
1,8,B06,M,09:34.6,129798
1,9,B06,M,10:53.1,133145
1,10,B06,M,12:11.5,125308
1,11,B06,M,13:30.0,125006
1,12,B06,M,14:48.5,132200
1,13,B06,M,16:07.0,130784
1,14,B06,M,55:34.9,153563
1,15,B06,M,56:53.3,154997
1,16,B06,M,58:11.7,153470
1,17,B06,M,59:30.2,149953
1,18,B06,M,00:48.7,160915
1,19,B06,M,02:07.1,147243
1,20,B06,M,03:25.6,161520
1,21,B06,M,04:44.0,153810
1,1,B07,M,00:26.0,99981
1,2,B07,M,01:44.4,100119
1,3,B07,M,03:02.9,107137
1,4,B07,M,04:21.4,109082
1,5,B07,M,05:39.8,93938
1,6,B07,M,06:58.3,92774
1,7,B07,M,08:16.7,97805
1,8,B07,M,09:35.2,96930
1,9,B07,M,10:53.6,97460
1,10,B07,M,12:12.1,103663
1,11,B07,M,13:30.6,104231
1,12,B07,M,14:49.1,99313
1,13,B07,M,16:07.6,95481
1,14,B07,M,55:35.4,121955
1,15,B07,M,56:53.8,121992
1,16,B07,M,58:12.3,123501
1,17,B07,M,59:30.7,132084
1,18,B07,M,00:49.2,99831
1,19,B07,M,02:07.7,127091
1,20,B07,M,03:26.1,115511
1,21,B07,M,04:44.6,112411
1,1,B08,M,00:26.6,71600
1,2,B08,M,01:45.0,67147
1,3,B08,M,03:03.5,71315
1,4,B08,M,04:21.9,71545
1,5,B08,M,05:40.4,69925
1,6,B08,M,06:58.8,68468
1,7,B08,M,08:17.3,80581
1,8,B08,M,09:35.7,65859
1,9,B08,M,10:54.2,70399
1,10,B08,M,12:12.7,64032
1,11,B08,M,13:31.2,68187
1,12,B08,M,14:49.6,66306
1,13,B08,M,16:08.1,68262
1,14,B08,M,55:36.0,82206
1,15,B08,M,56:54.4,59835
1,16,B08,M,58:12.8,78698
1,17,B08,M,59:31.3,73778
1,18,B08,M,00:49.8,80092
1,19,B08,M,02:08.2,80863
1,20,B08,M,03:26.7,79283
1,21,B08,M,04:45.1,77473
1,1,B09,M,00:27.1,57100
1,2,B09,M,01:45.6,48144
1,3,B09,M,03:04.0,52597
1,4,B09,M,04:22.5,45726
1,5,B09,M,05:41.0,56968
1,6,B09,M,06:59.4,54638
1,7,B09,M,08:17.8,46526
1,8,B09,M,09:36.3,55911
1,9,B09,M,10:54.8,45942
1,10,B09,M,12:13.2,53899
1,11,B09,M,13:31.7,50491
1,12,B09,M,14:50.2,43857
1,13,B09,M,16:08.7,50653
1,14,B09,M,55:36.6,55173
1,15,B09,M,56:55.0,55098
