Plate,Repeat,Well,Type,Time,ANTS (RFU)
1,8,B08,M,00:09:31.81,8258546
1,9,B08,M,00:10:50.29,8237516
1,10,B08,M,00:12:08.78,8306226
1,1,B09,M,00:00:22.89,8264544
1,2,B09,M,00:01:41.38,8307382
1,3,B09,M,00:02:59.87,8356181
1,4,B09,M,00:04:18.38,8240979
1,5,B09,M,00:05:36.90,8267831
1,6,B09,M,00:06:55.40,8293497
1,7,B09,M,00:08:13.89,8327044
1,8,B09,M,00:09:32.37,8256004
1,9,B09,M,00:10:50.86,8222593
1,10,B09,M,00:12:09.35,8301781
1,1,B10,M,00:00:23.46,8390355
1,2,B10,M,00:01:41.95,8213218
1,3,B10,M,00:03:00.44,8369037
1,4,B10,M,00:04:18.95,8264469
1,5,B10,M,00:05:37.47,8210618
1,6,B10,M,00:06:55.97,8179638
1,7,B10,M,00:08:14.46,8166316
1,8,B10,M,00:09:32.95,8288189
1,9,B10,M,00:10:51.43,8212861
1,10,B10,M,00:12:09.92,8398811
1,1,B11,M,00:00:24.03,8325897
1,2,B11,M,00:01:42.52,8243247
1,3,B11,M,00:03:01.00,8105984
1,4,B11,M,00:04:19.52,8243361
1,5,B11,M,00:05:38.04,8369379
1,6,B11,M,00:06:56.54,8274378
1,7,B11,M,00:08:15.03,8237198
1,8,B11,M,00:09:33.52,8313914
1,9,B11,M,00:10:52.00,8312089
1,10,B11,M,00:12:10.49,8150361
1,1,B12,M,00:00:24.60,8279193
1,2,B12,M,00:01:43.09,8163694
1,3,B12,M,00:03:01.58,8218033
1,4,B12,M,00:04:20.09,8288100
1,5,B12,M,00:05:38.61,8238797
1,6,B12,M,00:06:57.11,8205780
1,7,B12,M,00:08:15.60,8268488
1,8,B12,M,00:09:34.09,8137263
1,9,B12,M,00:10:52.57,8238484
1,10,B12,M,00:12:11.06,8150093
1,1,C01,M,00:00:27.61,8274164
1,2,C01,M,00:01:46.10,8208759
1,3,C01,M,00:03:04.59,8143817
1,4,C01,M,00:04:23.10,8066852
1,5,C01,M,00:05:41.62,8069751
1,6,C01,M,00:07:00.12,8206656
1,7,C01,M,00:08:18.61,8059827
1,8,C01,M,00:09:37.10,8040122
1,9,C01,M,00:10:55.58,8153286
1,10,C01,M,00:12:14.07,8072443
1,1,C02,M,00:00:28.18,8353771
1,2,C02,M,00:01:46.67,8353856
1,3,C02,M,00:03:05.16,8211525
1,4,C02,M,00:04:23.67,8146952
1,5,C02,M,00:05:42.19,8207829
1,6,C02,M,00:07:00.69,8153263
1,7,C02,M,00:08:19.18,8191486
1,8,C02,M,00:09:37.66,8217923
1,9,C02,M,00:10:56.15,8180787
1,10,C02,M,00:12:14.64,8042237
1,1,C03,M,00:00:28.75,8392726
1,2,C03,M,00:01:47.24,8423470
1,3,C03,M,00:03:05.72,8270708
1,4,C03,M,00:04:24.24,8349882
1,5,C03,M,00:05:42.76,8263536
1,6,C03,M,00:07:01.26,8266302
1,7,C03,M,00:08:19.75,8391754
1,8,C03,M,00:09:38.23,8225769
1,9,C03,M,00:10:56.72,8373619
1,10,C03,M,00:12:15.21,8294431
1,1,C04,M,00:00:29.32,8303178
1,2,C04,M,00:01:47.81,8386259
1,3,C04,M,00:03:06.29,8277033
1,4,C04,M,00:04:24.81,8138881
1,5,C04,M,00:05:43.33,8347568
1,6,C04,M,00:07:01.83,8256587
1,7,C04,M,00:08:20.32,8207352
1,8,C04,M,00:09:38.80,8174039
1,9,C04,M,00:10:57.29,8205017
1,10,C04,M,00:12:15.78,8122962
1,1,C05,M,00:00:29.89,8255161
1,2,C05,M,00:01:48.38,8191401
1,3,C05,M,00:03:06.86,8130854
1,4,C05,M,00:04:25.38,8288138
1,5,C05,M,00:05:43.90,8067810
1,6,C05,M,00:07:02.40,8139019
1,7,C05,M,00:08:20.89,8083809
1,8,C05,M,00:09:39.37,8375233
1,9,C05,M,00:10:57.86,8217673
1,10,C05,M,00:12:16.35,8174460
1,1,C06,M,00:00:30.46,8373870
1,2,C06,M,00:01:48.95,8238292
1,3,C06,M,00:03:07.43,8282845
1,4,C06,M,00:04:25.95,8171278
1,5,C06,M,00:05:44.47,8128345
1,6,C06,M,00:07:02.97,8316751
1,7,C06,M,00:08:21.46,8293768
1,8,C06,M,00:09:39.94,8290220
1,9,C06,M,00:10:58.43,8125618
1,10,C06,M,00:12:16.92,8138923
1,1,C07,M,00:00:31.03,8353230
1,2,C07,M,00:01:49.52,8270751
1,3,C07,M,00:03:08.00,8199667
1,4,C07,M,00:04:26.52,8077897
1,5,C07,M,00:05:45.04,8216893
1,6,C07,M,00:07:03.54,8434195
1,7,C07,M,00:08:22.03,8496164
1,8,C07,M,00:09:40.51,8382625
1,9,C07,M,00:10:59.00,8175784
1,10,C07,M,00:12:17.49,8239243
1,1,C08,M,00:00:31.60,8353675
1,2,C08,M,00:01:50.09,8241113
1,3,C08,M,00:03:08.57,8323725
1,4,C08,M,00:04:27.09,8219228
1,5,C08,M,00:05:45.61,8107986
1,6,C08,M,00:07:04.11,8127416
1,7,C08,M,00:08:22.60,8091720
1,8,C08,M,00:09:41.08,8402971
1,9,C08,M,00:10:59.57,8232231
1,10,C08,M,00:12:18.06,8222329
1,1,C09,M,00:00:32.17,8258435
1,2,C09,M,00:01:50.66,8358980
1,3,C09,M,00:03:09.14,8358138
1,4,C09,M,00:04:27.66,8126814
1,5,C09,M,00:05:46.17,8230120
1,6,C09,M,00:07:04.68,8205618
1,7,C09,M,00:08:23.17,8247463
1,8,C09,M,00:09:41.65,8164222
1,9,C09,M,00:11:00.14,8167245
1,10,C09,M,00:12:18.63,8227956
1,1,C10,M,00:00:32.74,8288573
1,2,C10,M,00:01:51.23,8281582
1,3,C10,M,00:03:09.71,8453729
1,4,C10,M,00:04:28.23,8328798
1,5,C10,M,00:05:46.75,8219001
1,6,C10,M,00:07:05.25,8187848
1,7,C10,M,00:08:23.74,8080328
1,8,C10,M,00:09:42.23,8268222
1,9,C10,M,00:11:00.71,8263238
1,10,C10,M,00:12:19.20,8197941
1,1,C11,M,00:00:33.31,8195841
1,2,C11,M,00:01:51.80,8195373
1,3,C11,M,00:03:10.28,8267823
1,4,C11,M,00:04:28.80,8421200
1,5,C11,M,00:05:47.32,8138591
